Estado,Ciudad,Longitud,Latitud
Chiapas,PantelhÃ³,-92.2810487,17.0023971
Chiapas,Pantepec,-93.0258365,17.1117131
Chiapas,Pichucalco,-93.0703963,17.3030783
Chiapas,Pijijiapan,-93.1233541,15.4130025
Chiapas,El Porvenir,-92.1646705,15.2722922
Chiapas,Villa ComaltitlÃ¡n,-92.3433687,15.1242975
Chiapas,Pueblo Nuevo SolistahuacÃ¡n,-92.535036,17.0927245
Chiapas,RayÃ³n,-93.0040382,17.1201812
Chiapas,Reforma,-93.0849589,17.5156923
Chiapas,Las Rosas,-92.221049,16.2150875
Chiapas,Sabanilla,-92.3306192,17.1700543
Chiapas,Salto de Agua,-92.2000319,17.3325275
Chiapas,San CristÃ³bal de las Casas,-92.381523,16.441328
Chiapas,San Fernando,-93.1222625,16.5218163
Chiapas,Siltepec,-92.1922296,15.3325866
Chiapas,Simojovel,-92.425475,17.0826974
Chiapas,SitalÃ¡,-92.1827874,17.0130183
Chiapas,Socoltenango,-92.2101137,16.1434618
Chiapas,Solosuchiapa,-93.0152246,17.254316
Chiapas,SoyalÃ³,-92.5531044,16.5327573
Chiapas,Suchiapa,-93.0617258,16.3719049
Chiapas,Suchiate,-92.0903392,14.4046028
Chiapas,Sunuapa,-93.143541,17.292176
Chiapas,Tapachula,-92.1551552,14.5439857
Chiapas,Tapalapa,-93.0616577,17.1124173
Chiapas,Tapilula,-93.005853,17.145425
Chiapas,TecpatÃ¡n,-93.1841284,17.0813183
Chiapas,Tenejapa,-92.302337,16.490846
Chiapas,Teopisca,-92.282135,16.322945
Chiapas,Tila,-92.2533113,17.1802285
Chiapas,TonalÃ¡,-93.450642,16.052888
Chiapas,Totolapa,-92.4049354,16.3241037
Chiapas,La Trinitaria,-92.030169,16.0708614
Chiapas,TumbalÃ¡,-92.1857556,17.1642468
Chiapas,Tuxtla GutiÃ©rrez,-93.065469,16.45143
Chiapas,Tuxtla Chico,-92.1008291,14.5624683
Chiapas,TuzantÃ¡n,-92.2517834,15.0845828
Chiapas,Tzimol,-92.1116572,16.1103233
Chiapas,UniÃ³n JuÃ¡rez,-92.0455048,15.0338546
Chiapas,Venustiano Carranza,-92.3354487,16.2022622
Chiapas,Villa Corzo,-93.1603661,16.1105104
Chiapas,Villaflores,-93.1603747,16.1407749
Chiapas,YajalÃ³n,-92.2002199,17.1026076
Chiapas,San Lucas,-92.4309632,16.3641892
Chiapas,ZinacantÃ¡n,-92.432489,16.4536428
Chiapas,San Juan Cancuc,-92.2219029,16.5332076
Chiapas,Aldama,-92.4117491,16.5504144
Chiapas,BenemÃ©rito de las AmÃ©ricas,-90.3911887,16.3056981
Chiapas,Maravilla Tenejapa,-91.1742373,16.0825428
Chiapas,MarquÃ©s de Comillas,-90.455502,16.195928
