Municipio,Latitud,Longitud
UniÃ³n JuÃ¡rez-Chiapas,15.0338546,-92.0455048
Venustiano Carranza-Chiapas,16.2022622,-92.3354487
Villa Corzo-Chiapas,16.1105104,-93.1603661
Villaflores-Chiapas,16.1407749,-93.1603747
YajalÃ³n-Chiapas,17.1026076,-92.2002199
San Lucas-Chiapas,16.3641892,-92.4309632
ZinacantÃ¡n-Chiapas,16.4536428,-92.432489
San Juan Cancuc-Chiapas,16.5332076,-92.2219029
Aldama-Chiapas,16.5504144,-92.4117491
BenemÃ©rito de las AmÃ©ricas-Chiapas,16.3056981,-90.3911887
Maravilla Tenejapa-Chiapas,16.0825428,-91.1742373
MarquÃ©s de Comillas-Chiapas,16.195928,-90.455502
Montecristo de Guerrero-Chiapas,15.4138103,-92.3709336
San AndrÃ©s Duraznal-Chiapas,17.0755191,-92.4817955
Santiago el Pinar-Chiapas,16.5629177,-92.4252545
CapitÃ¡n Luis Ãngel Vidal-Chiapas,15.360406,-92.3744751
RincÃ³n Chamula San Pedro-Chiapas,17.1234095,-92.5615253
El Parral-Chiapas,16.215842,-93.002416
Emiliano Zapata-Chiapas,16.3221018,-92.5348208
Mezcalapa-Chiapas,17.1121201,-93.3617184
Honduras de la Sierra-Chiapas,15.3522788,-92.2833807
Ahumada-Chihuahua,30.3703842,-106.3044695
Aldama-Chihuahua,28.501817,-105.5440653
Allende-Chihuahua,26.5621933,-105.2342276
Aquiles SerdÃ¡n-Chihuahua,28.3540212,-105.5314906
AscensiÃ³n-Chihuahua,31.0531834,-107.5945418
BachÃ­niva-Chihuahua,28.4553034,-107.1515704
Balleza-Chihuahua,26.5714787,-106.2048924
Batopilas de Manuel GÃ³mez MorÃ­n-Chihuahua,27.0135948,-107.4422956
Bocoyna-Chihuahua,27.5026674,-107.3521309
Buenaventura-Chihuahua,29.5036271,-107.2816731
Camargo-Chihuahua,27.4141865,-105.1017833
CarichÃ­-Chihuahua,27.5459515,-107.0324517
Casas Grandes-Chihuahua,30.2232533,-107.5655699
Coronado-Chihuahua,26.4415414,-105.0929923
Coyame del Sotol-Chihuahua,29.2743354,-105.0539687
La Cruz-Chihuahua,27.515,-105.1147
CuauhtÃ©moc-Chihuahua,28.2422722,-106.515776
Cusihuiriachi-Chihuahua,28.1428,-106.5012
Chihuahua-Chihuahua,28.3812458,-106.0434704
ChÃ­nipas-Chihuahua,27.2334117,-108.3210425
Delicias-Chihuahua,28.1134613,-105.2815768
Dr. Belisario DomÃ­nguez-Chihuahua,28.09168,-106.2837309
Galeana-Chihuahua,30.0646618,-107.3700279
Santa Isabel-Chihuahua,28.2036045,-106.2204996
GÃ³mez FarÃ­as-Chihuahua,29.2125269,-107.4419158
Gran Morelos-Chihuahua,28.1452168,-106.3036444
Guachochi-Chihuahua,26.4908949,-107.0409702
Guadalupe-Chihuahua,31.2324385,-106.0606313
Guadalupe y Calvo-Chihuahua,26.0540257,-106.575173
Guazapares-Chihuahua,27.1634974,-108.1647841
Guerrero-Chihuahua,28.3253493,-107.2912925
Hidalgo del Parral-Chihuahua,26.5519516,-105.4001716
HuejotitÃ¡n-Chihuahua,27.0316812,-106.1046043
Ignacio Zaragoza-Chihuahua,29.3835564,-107.4551101
Janos-Chihuahua,30.5314127,-108.1123459
JimÃ©nez-Chihuahua,27.0749977,-104.5522716
JuÃ¡rez-Chihuahua,31.4447275,-106.2906067
Julimes-Chihuahua,28.2523,-105.255
LÃ³pez-Chihuahua,27.0009,-105.0159
Madera-Chihuahua,29.1124,-108.0829
Maguarichi-Chihuahua,27.513349,-107.5938241
Manuel Benavides-Chihuahua,29.0626591,-103.5428137
MatachÃ­-Chihuahua,28.5035622,-107.4516733
Matamoros-Chihuahua,26.4549957,-105.3459988
Meoqui-Chihuahua,28.1604068,-105.2849048
Morelos-Chihuahua,26.4013896,-107.4038092
Moris-Chihuahua,28.0854183,-108.3123655
Namiquipa-Chihuahua,29.1502736,-107.2431938
Nonoava-Chihuahua,27.2819395,-106.4407196
Nuevo Casas Grandes-Chihuahua,30.2450348,-107.5443571
Ocampo-Chihuahua,28.1137804,-108.2200266
Ojinaga-Chihuahua,29.3352202,-104.2456393
Praxedis G. Guerrero-Chihuahua,31.2219444,-106.0019421
Riva Palacio-Chihuahua,28.3245628,-106.3009476
Rosales-Chihuahua,28.1113,-105.3316
Rosario-Chihuahua,27.1910707,-106.1743793
San Francisco de Borja-Chihuahua,27.5406556,-106.4105699
San Francisco de Conchos-Chihuahua,27.3518787,-105.2004709
San Francisco del Oro-Chihuahua,26.513238,-105.5100289
Santa BÃ¡rbara-Chihuahua,26.480756,-105.4905159
SatevÃ³-Chihuahua,27.5721721,-106.0625935
Saucillo-Chihuahua,28.0157628,-105.1716916
TemÃ³sachic-Chihuahua,28.570993,-107.4947422
El Tule-Chihuahua,27.0313005,-106.1558512
Urique-Chihuahua,27.1245773,-107.5451497
Uruachi-Chihuahua,27.5204527,-108.1254702
Valle de Zaragoza-Chihuahua,27.2725674,-105.4839579
Azcapotzalco-Ciudad de MÃ©xico,19.290277,-99.1103698
CoyoacÃ¡n-Ciudad de MÃ©xico,19.210077,-99.0943724
Cuajimalpa de Morelos-Ciudad de MÃ©xico,19.2126461,-99.1759252
Gustavo A. Madero-Ciudad de MÃ©xico,19.2858603,-99.0648495
Iztacalco-Ciudad de MÃ©xico,19.2345245,-99.0551406
Iztapalapa-Ciudad de MÃ©xico,19.2132414,-99.0533441
La Magdalena Contreras-Ciudad de MÃ©xico,19.1817633,-99.1429456
Milpa Alta-Ciudad de MÃ©xico,19.1128498,-99.0124139
Ãlvaro ObregÃ³n-Ciudad de MÃ©xico,19.2326902,-99.1143488
TlÃ¡huac-Ciudad de MÃ©xico,19.1614039,-99.0017446
Tlalpan-Ciudad de MÃ©xico,19.171779,-99.1001654
Xochimilco-Ciudad de MÃ©xico,19.1548463,-99.0617688
Benito JuÃ¡rez-Ciudad de MÃ©xico,19.2219172,-99.0928272
CuauhtÃ©moc-Ciudad de MÃ©xico,19.2629928,-99.0906781
Miguel Hidalgo-Ciudad de MÃ©xico,19.2426168,-99.1126716
Venustiano Carranza-Ciudad de MÃ©xico,19.2509343,-99.0649324
CanatlÃ¡n-Durango,24.3138148,-104.4642145
Canelas-Durango,25.0722695,-106.3244279
Coneto de Comonfort-Durango,24.5844849,-104.4608101
CuencamÃ©-Durango,24.5215382,-103.4154463
Durango-Durango,24.0126357,-104.40127
General SimÃ³n BolÃ­var-Durango,24.4120666,-103.1333511
GÃ³mez Palacio-Durango,25.3412386,-103.2947101
Guadalupe Victoria-Durango,24.264716,-104.0725176
GuanacevÃ­-Durango,25.5553983,-105.5715955
Hidalgo-Durango,26.1505203,-104.5448523
IndÃ©-Durango,25.5443276,-105.1325648
Lerdo-Durango,25.3211586,-103.3129458
MapimÃ­-Durango,25.4959965,-103.5053497
Mezquital-Durango,23.2824709,-104.2348278
Nazas-Durango,25.1339996,-104.0649691
Nombre de Dios-Durango,23.5053559,-104.1440938
Ocampo-Durango,26.2629623,-105.302318
El Oro-Durango,25.5657566,-105.2153516
OtÃ¡ez-Durango,24.4155281,-105.5938607
PÃ¡nuco de Coronado-Durango,24.2403688,-104.1909352
PeÃ±Ã³n Blanco-Durango,24.4733031,-104.020336
Poanas-Durango,23.5830332,-104.023889
Pueblo Nuevo-Durango,23.4641342,-105.2136691
Rodeo-Durango,25.1050587,-104.33376
San Bernardo-Durango,26.0002834,-105.3123724
San Dimas-Durango,24.0607854,-105.5552482
San Juan de Guadalupe-Durango,24.375107,-102.4655397
San Juan del RÃ­o-Durango,24.4641718,-104.2733212
San Luis del Cordero-Durango,25.2503535,-104.164003
San Pedro del Gallo-Durango,25.335711,-104.1734203
Santa Clara-Durango,24.2831598,-103.2126
Santiago Papasquiaro-Durango,25.0220687,-105.2515402
SÃºchil-Durango,23.3719787,-103.5518731
Tamazula-Durango,24.5813138,-106.5759766
Tepehuanes-Durango,25.2035551,-105.4322807
Tlahualilo-Durango,26.0626589,-103.2621249
Topia-Durango,25.1232481,-106.3416305
Vicente Guerrero-Durango,23.4352,-103.5916
Nuevo Ideal-Durango,24.5317928,-105.0427139
Abasolo-Guanajuato,20.270324,-101.3142098
AcÃ¡mbaro-Guanajuato,20.0207369,-100.4309575
San Miguel de Allende-Guanajuato,20.5414446,-100.4248173
Apaseo el Alto-Guanajuato,20.2725817,-100.3717855
Apaseo el Grande-Guanajuato,20.3243023,-100.4117581
Atarjea-Guanajuato,21.1601345,-99.4312962
Celaya-Guanajuato,20.3117486,-100.4848863
Manuel Doblado-Guanajuato,20.4339065,-101.5710045
Comonfort-Guanajuato,20.4312171,-100.4540328
Coroneo-Guanajuato,20.1155,-100.2152
Cortazar-Guanajuato,20.2900623,-100.5749424
CuerÃ¡maro-Guanajuato,20.3735322,-101.4013389
Doctor Mora-Guanajuato,21.0833504,-100.1908218
Dolores Hidalgo Cuna de la Independencia Nacional-Guanajuato,21.0933121,-100.5502048
